trial,Rhodamine,replicate,condition,Area,Mean,Int Den,CTCF,CTCF avg,bck,Area,Mean,Int Den
5,110,3,mated,14716.059,66.862,983941.042,955156.4306,2408137.657,1,11898.032,1.956,23269.407
5,110,3,mated,30143.519,56.485,1702664.889,1575820.961,NA,2,18551.555,4.208,78061.016
5,110,3,mated,48507.573,106.622,5171962.788,4693435.58,NA,3,6854.81,9.865,67621.63
5,110,1,cont,13864.033,2.942,40789.707,22766.4641,24775.76706,1,13742.709,1.3,17867.728
5,110,2,cont,17735.375,2.869,50884.422,27243.16713,NA,2,15096.576,1.333,20128.768
5,110,3,cont,12286.82,3.301,40560.846,24317.66996,NA,3,10712.365,1.322,14159.072
5,110,8,vial,23415.547,37.584,880051.784,743539.145,983964.5574,1,14845.656,5.83,86556.459
5,110,8,vial,17842.912,66.365,1184139.56,1060916.41,NA,2,29272.192,6.906,202164.52
5,110,8,vial,29178.441,98.451,2872642.62,1147438.117,NA,3,17120.482,59.126,1012264.7
5,110,4,mated,21430.244,33.478,717436.157,690262.6076,754139.3509,1,18198.612,1.268,23081.906
5,110,4,mated,36217.995,28.309,1025296.009,770502.4142,NA,2,8989.011,7.035,63234.662
5,110,4,mated,34340.229,27.453,942757.032,801653.031,NA,3,6046.902,4.109,24849.377
5,B,8,vial,11139.756,47.9,533588.816,518416.4683,530287.2886,1,13963.299,1.362,19017.549
5,B,8,vial,12474.321,42.909,535262.537,513407.5266,NA,2,23139.811,1.752,40541.544
5,B,8,vial,17354.858,33.309,578076.15,559037.8708,NA,3,19588.324,1.097,21496.421
5,B,8,vial,15319.922,32.236,493852.423,394058.4511,1357631.801,1,2718.762,6.514,17710.558
5,B,8,vial,49381.658,21.139,1043855.836,970425.3106,NA,2,11848.399,1.487,17619.565
5,B,8,vial,44581.084,62.251,2775238.686,2708411.641,NA,3,4262.887,1.499,6391.573
5,B,7,vial,10985.344,35.919,394578.995,383879.2699,414848.0565,1,11128.727,0.974,10841.961
5,B,7,vial,15262.018,27.148,414327.246,397920.5767,NA,2,16555.222,1.075,17798.794
5,B,7,vial,10489.018,45.072,472761.335,462744.3228,NA,3,15827.278,0.955,15110.363
5,B,6,vial,10745.453,89.009,956441.837,942429.7663,886651.1969,1,17101.18,1.304,22301.572
5,B,6,vial,8283.126,132.921,1101002.235,1080766.558,NA,2,10963.285,2.443,26779.533
5,B,6,vial,6077.233,106.48,647106.794,636757.2662,NA,3,19312.588,1.703,32887.098
5,B,6,vial,8459.597,115.799,979611.978,967624.7291,2348685.835,1,22665.544,1.417,32120.55
5,B,6,vial,15540.512,65.336,1015347.435,988182.62,NA,2,28613.181,1.748,50024.124
5,B,6,vial,50771.37,103.036,5231293.021,5090250.155,NA,3,13654.474,2.778,37930.319
5,B,5,vial,22069.953,102.56,2263499.234,2179015.454,1294861.097,1,20776.749,3.828,79525.177
5,B,5,vial,16855.775,59.019,994816.091,862582.5361,NA,2,22935.766,7.845,179929.125
5,B,5,vial,18099.347,56.594,1024322.659,842985.3014,NA,3,29556.2,10.019,296113.475
5,B,5,vial,7560.696,70.044,529579.607,398446.8956,1300086.354,1,8415.479,17.344,145958.382
5,B,5,vial,12278.548,149.273,1832853.899,1509903.53,NA,2,12485.351,26.302,328391.195
5,B,5,vial,17870.485,120.995,2162232.23,1991908.637,NA,3,6832.752,9.531,65123.457
5,B,4,vial,11382.405,32.156,366007.174,353395.4693,329048.9985,1,4169.137,1.108,4618.587
5,B,4,vial,20889.801,26.771,559240.587,104093.6028,NA,2,16621.399,21.788,362144.105
5,B,4,vial,24132.462,41.748,1007480.671,529657.9234,NA,3,12965.132,19.8,256705.208
5,B,4,vial,22640.728,25.839,585008.167,253910.1607,165177.491,1,10130.561,14.624,148150.488
5,B,4,vial,15810.733,26.43,417875.976,139607.0752,NA,2,7254.628,17.6,127682.564
5,B,4,vial,9678.353,27.005,261359.641,102015.2372,NA,3,2922.807,16.464,48121.542
5,B,3,vial,16654.487,36.945,615306.099,597602.3793,291566.5347,1,17705.044,1.063,18816.262
5,B,3,vial,5255.539,17.052,89619.892,82966.37963,NA,2,17947.692,1.266,22726.206
5,B,3,vial,11321.743,20.369,230609.501,194130.8451,NA,3,11625.053,3.222,37453.295
5,B,3,vial,22952.31,200.596,4604152.31,4549525.812,3131728.34,1,11084.609,2.38,26385.23
5,B,3,vial,50239.198,31.575,1586320.612,1272627.06,NA,2,3683.84,6.244,23001.943
5,B,3,vial,57289.782,67.376,3859939.376,3573032.148,NA,3,8316.214,5.008,41644.49
5,B,1,vial,20636.123,26.515,547177.113,514860.9444,381601.5578,1,20374.173,1.566,31902.718
5,B,1,vial,15887.94,18.586,295300.052,257550.3066,NA,2,6551.5,2.376,15568.085
5,B,1,vial,24752.87,17.047,421973.421,372393.4224,NA,3,17867.728,2.003,35793.361
5,B,1,vial,23724.372,27.5,652420.238,514249.4955,316888.3933,1,13411.826,5.824,78105.134
5,B,1,vial,9766.588,22.231,217117.712,207429.2567,NA,2,2903.506,0.992,2881.447
5,B,1,vial,11558.876,21.131,244255.703,228986.4278,NA,3,8724.304,1.321,11523.03
5,B,1,mated,15689.409,118.173,1854063.554,1622989.938,1466871.183,1,11139.756,14.728,164063.244
5,B,1,mated,17023.974,102.37,1742745.953,1545982.862,NA,2,8396.178,11.558,97039.962
5,B,1,mated,10797.843,122.219,1319697.16,1231640.75,NA,3,6209.587,8.155,50641.774
5,B,1,mated,27154.535,109.386,2970314.019,1459924.473,1064128.857,1,9901.699,55.622,550756.174
5,B,1,mated,18275.818,74.751,1366133.952,740388.2195,NA,2,17705.044,34.239,606209.55
5,B,1,mated,17547.874,95.16,1669860.512,992073.8788,NA,3,3099.279,38.625,119711.021
5,B,2,mated,14746.39,16.725,246627.037,191239.5962,222615.0272,1,11387.919,3.756,42769.495
5,B,2,mated,8117.684,19.578,158929.029,133236.5591,NA,2,14955.95,3.165,47332.935
5,B,2,mated,12959.618,30.768,398745.374,343368.9263,NA,3,9066.218,4.273,38743.742
5,B,2,mated,14716.059,6.108,89892.871,58429.93686,79446.18579,1,8076.323,2.138,17263.865
5,B,2,mated,18386.113,9.095,167223.185,137897.3348,NA,2,15865.881,1.595,25309.857
5,B,2,mated,16191.25,8.228,133216.597,42011.28575,NA,3,12639.763,5.633,71195.176
5,B,3,mated,3413.618,40.366,137793.823,132751.9092,147352.2254,1,17492.726,1.477,25833.757
5,B,3,mated,6435.691,40.269,259156.506,237017.729,NA,2,17327.284,3.44,59605.969
5,B,3,mated,2040.45,36.9,75292.621,72287.03815,NA,3,10400.782,1.473,15317.165
5,B,3,mated,11867.701,34.632,411001.864,334016.0876,340158.5794,1,16792.356,6.487,108926.964
5,B,3,mated,17955.964,16.292,292531.657,204331.9618,NA,2,25723.462,4.912,126342.485
5,B,3,mated,13472.488,42.311,570035.673,482127.6888,NA,3,22329.145,6.525,145693.675
5,B,4,mated,20167.371,32.889,663281.5,605643.1537,570829.288,1,24317.206,2.858,69488.367
5,B,4,mated,18810.747,29.196,549201.02,490473.8679,NA,2,33289.673,3.122,103941.648
5,B,4,mated,21030.426,31.674,666107.8,616370.8425,NA,3,7908.124,2.365,18703.21
5,B,5,mated,18937.586,161.462,3057694.93,2906554.056,3425655.69,1,16739.966,7.981,133608.143
5,B,5,mated,18275.818,185.608,3392141.299,3272526.07,NA,2,16455.957,6.545,107702.694
5,B,5,mated,32820.921,136.869,4492164.669,4097886.945,NA,3,9981.663,12.013,119912.308
5,B,6,mated,26603.062,93.912,2498341.291,2470913.534,2748363.993,1,14459.624,1.031,14909.075
5,B,6,mated,32945.002,109.337,3602092.619,3560581.916,NA,2,16191.25,1.26,20398.99
5,B,6,mated,25326.402,88.992,2253840.182,2213596.529,NA,3,13058.883,1.589,20746.418
5,B,6,mated,13025.794,89.674,1168077.906,1060445.77,1678260.917,1,19908.179,8.263,164501.665
5,B,6,mated,29211.53,63.266,1848107.644,1530286.198,NA,2,10196.737,10.88,110939.841
5,B,6,mated,26239.09,94.818,2487948.781,2444050.783,NA,3,4522.079,1.673,7563.453
5,B,7,mated,44509.393,42.792,1904663.967,1818671.82,2234785.526,1,9948.575,1.932,19224.352
5,B,7,mated,75755.858,56.943,4313754.853,3775509.482,NA,2,20203.217,7.105,143545.688
5,B,7,mated,64351.395,21.093,1357348.985,1110175.277,NA,3,19839.244,3.841,76197.037
5,B,7,mated,7646.174,31.274,239127.003,230456.2417,203779.4341,1,25814.455,1.134,29283.221
5,B,7,mated,12609.432,12.371,155995.193,143322.7138,NA,2,37729.031,1.005,37922.047
5,B,7,mated,11211.448,23.288,261092.176,237559.3466,NA,3,18457.804,2.099,38749.257
5,B,1,virgin,5735.32,248.872,1427361.251,1350324.433,1266487.547,1,15741.799,13.432,211451.326
5,B,1,virgin,56465.33,42.93,2424035.807,1608732.907,NA,2,20241.82,14.439,292277.98
5,B,1,virgin,8283.126,117.308,971676.281,840405.3002,NA,3,10508.32,15.848,166536.601
5,B,1,virgin,12998.221,109.167,1418976.103,1359587.231,256272.458,1,11338.287,4.569,51808.139
5,B,1,virgin,21463.333,31.921,685136.379,528797.4614,NA,2,10326.334,7.284,75218.172
